Message
"Multiple DIGITRUBBER classes use the same base label 'screw speed ' with different partner tags: 'screw speed [ita]', screw speed  [dik]"
"Multiple DIGITRUBBER classes use the same base label 'agent ' with different partner tags: 'agent [ita]', agent  [ncit]"
