Message
"Multiple DIGITRUBBER classes use the same base label 'vulcanization ' with different partner tags: 'vulcanization [dik]', vulcanization  [Arlanxeo]"
"Multiple DIGITRUBBER classes use the same base label 'filler ' with different partner tags: 'filler [dik]', filler  [Arlanxeo]"
"Multiple DIGITRUBBER classes use the same base label 'carbon black ' with different partner tags: 'carbon black [dik]', carbon black  [chebi], carbon black  [Arlanxeo]"
"Multiple DIGITRUBBER classes use the same base label 'Mooney viscosity ' with different partner tags: 'Mooney viscosity [ifnano]', Mooney viscosity  [dik], Mooney viscosity  [Arlanxeo]"
