Class Suffix,Label,Severity,Message
DIGITRUBBER_000001,measurement quality [imr],Violation,DigitRubber class 'measurement quality [imr]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000006,triangulation [imr],Violation,DigitRubber class 'triangulation [imr]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000017,extrudate norm [imr],Violation,DigitRubber class 'extrudate norm [imr]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000009,surface of extrudate [imr],Violation,DigitRubber class 'surface of extrudate [imr]' is missing a de definition (obo:IAO_0000115).
