Message
"Multiple DIGITRUBBER classes use the same base label 'operator ' with different partner tags: 'operator [hsh]', operator  [ncit]"
"Multiple DIGITRUBBER classes use the same base label 'natural rubber ' with different partner tags: 'natural rubber [hsh]', natural rubber  [ncit]"
"Multiple DIGITRUBBER classes use the same base label 'supervisor ' with different partner tags: 'supervisor [hsh]', supervisor  [ncit], supervisor  [m4i]"
"Multiple DIGITRUBBER classes use the same base label 'cost ' with different partner tags: 'cost [hsh]', cost  [ncit]"
"Multiple DIGITRUBBER classes use the same base label 'synthetic rubber ' with different partner tags: 'synthetic rubber [hsh]', synthetic rubber  [dik]"
