Class Suffix,Contributor,Label,Parent,Definition
DIGITRUBBER_000326,Alexander Aschemann,dithiocarbamate [dik],dithiocarbamate anions,
DIGITRUBBER_000525,Alexander Aschemann,quality of a substance [dik],quality,
CHEBI_33353,,technetium atom,metal atom,
CHEBI_33387,,neptunium atom,metal atom,
DIGITRUBBER_000634,Alexander Aschemann,quality of a solid [dik],quality,
CHEBI_33342,,zirconium atom,metal atom,
DIGITRUBBER_000571,Alexander Aschemann,oil content [dik],intensive quality,
DIGITRUBBER_000356,Alexander Aschemann,setting roll speed [dik],device specification,
DIGITRUBBER_000355,Alexander Aschemann,fixed roll speed [dik],intensive quality,
CHEBI_24061,,fluorine atom,nonmetal atom,
CHEBI_27998,,tungsten,metal atom,
CHEBI_33397,,lawrencium atom,metal atom,
DIGITRUBBER_000598,Alexander Aschemann,hydrocarbylene group [dik],organodiyl group [chebi],
CHEBI_28984,,aluminium atom,metal atom,
DIGITRUBBER_000444,Alexander Aschemann,surface temperature [dik],intensive quality,
CHEBI_30513,,antimony atom,metalloid atom,
DIGITRUBBER_000324,Alexander Aschemann,tetrabenzylthiuramdisulfide [dik],chemical substance,
CHEBI_33314,,radon atom,nonmetal atom,
DIGITRUBBER_000437,Alexander Aschemann,conveyor belt [dik],device,
DIGITRUBBER_000588,Alexander Aschemann,ethylidene norbornene [dik],chemical substance,
DIGITRUBBER_000344,Alexander Aschemann,setting roll [dik],device,
CHEBI_27214,,uranium atom,metal atom,
CHEBI_33323,,francium atom,metal atom,
DIGITRUBBER_000560,Alexander Aschemann,specific surface [dik],surface [dik],
CHEBI_22984,,calcium atom,metal atom,
DIGITRUBBER_000603,Alexander Aschemann,organic group [dik],group [chebi],
CHEBI_29362,,ethylene group,group [chebi],
CHEBI_33381,,ytterbium,lanthanoid atom,
CHEBI_28685,,molybdenum atom,metal atom,
CHEBI_33395,,mendelevium atom,metal atom,
DIGITRUBBER_000340,Alexander Aschemann,product data sheet [dik],information content entity,
CHEBI_36830,,monoanion,anion,
CHEBI_27563,,arsenic atom,metalloid atom,
PMD_0000873,,,deprecated class,
DIGITRUBBER_000582,Alexander Aschemann,curemeter [dik],device,
DIGITRUBBER_000412,Alexander Aschemann,stamp distance [dik],plan specification,
DIGITRUBBER_000465,Alexander Aschemann,feeding roll temperature [dik],intensive quality,
CHEBI_33386,,protactinium atom,metal atom,
DIGITRUBBER_000602,Alexander Aschemann,organic divalent group [dik],organic group [chebi],
DIGITRUBBER_000472,Alexander Aschemann,molding zone temperature control unit [dik],device,
CHEBI_33325,,radium atom,metal atom,
CHEBI_33375,,gadolinium atom,lanthanoid atom,
CHEBI_33336,,lanthanum atom,lanthanoid atom,
DIGITRUBBER_000016,,distance between sensor and extrudate [imr],relational quality,
CHEBI_33373,,promethium atom,lanthanoid atom,
CHEBI_33331,,yttrium atom,metal atom,
DIGITRUBBER_000441,Alexander Aschemann,surface [dik],surface layer (fiat object part),
DIGITRUBBER_000425,Alexander Aschemann,single screw extruder [dik],extruder,
DIGITRUBBER_000581,Alexander Aschemann,Mooney shearing-disc viscometer [dik],device,
DIGITRUBBER_000384,Alexander Aschemann,drop door [dik],device,
CHEBI_33348,,tantalum atom,metal atom,
DIGITRUBBER_000320,Alexander Aschemann,di(benzothiazol-2-yl)disulfide [dik],organic disulfide,
CHEBI_32145,,sodium hydroxide,molecular entity,
CHEBI_33372,,neodymium atom,lanthanoid atom,
CHEBI_33301,,bismuth atom,metal atom,
DIGITRUBBER_000554,Alexander Aschemann,processed material [dik],material entity,
DIGITRUBBER_000458,Alexander Aschemann,engine [dik],device,
CHEBI_27568,,selenium atom,chalcogen,
