Class Suffix,Label,Severity,Message
PMD_0001019,x-ray spectroscopy,Violation,Class 'PMD_0001019' ('x-ray spectroscopy') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
UO_1000164,mass volume percentage based unit,Violation,Class 'UO_1000164' ('mass volume percentage based unit') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000602,device,Violation,Class 'PMD_0000602' ('device') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
OBI_0000953,processed specimen [obi],Violation,Class 'OBI_0000953' ('processed specimen [obi]') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000832,manufacturing function,Violation,Class 'PMD_0000832' ('manufacturing function') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020172,sheet,Violation,Class 'PMD_0020172' ('sheet') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000012,workflow definition,Violation,Class 'PMD_0000012' ('workflow definition') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050051,diameter,Violation,Class 'PMD_0050051' ('diameter') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000008,process attribute,Violation,Class 'PMD_0000008' ('process attribute') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000885,pole figure,Violation,Class 'PMD_0000885' ('pole figure') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050089,yttrium barium copper oxide ceramic,Violation,Class 'PMD_0050089' ('yttrium barium copper oxide ceramic') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000913,reinforcement learning,Violation,Class 'PMD_0000913' ('reinforcement learning') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020247,dispersion,Violation,Class 'PMD_0020247' ('dispersion') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000620,electrical conductivity,Violation,Class 'PMD_0000620' ('electrical conductivity') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050019,polyethylene terephthalate,Violation,Class 'PMD_0050019' ('polyethylene terephthalate') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0025017,outer diameter,Violation,Class 'PMD_0025017' ('outer diameter') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020143,process chain,Violation,Class 'PMD_0020143' ('process chain') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020187,copper alloy,Violation,Class 'PMD_0020187' ('copper alloy') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020139,melt,Violation,Class 'PMD_0020139' ('melt') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000517,acoustic wave,Violation,Class 'PMD_0000517' ('acoustic wave') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050084,lead zirconate titanate ceramic,Violation,Class 'PMD_0050084' ('lead zirconate titanate ceramic') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020246,continous transport,Violation,Class 'PMD_0020246' ('continous transport') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
APOLLO_SV_00000008,software development,Violation,Class 'APOLLO_SV_00000008' ('software development') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
OBI_0200171,partitioning data transformation,Violation,Class 'OBI_0200171' ('partitioning data transformation') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050145,45S5 bioglass,Violation,Class 'PMD_0050145' ('45S5 bioglass') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000955,structural material,Violation,Class 'PMD_0000955' ('structural material') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020205,defect role,Violation,Class 'PMD_0020205' ('defect role') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
IAO_0000005,objective specification,Violation,Class 'IAO_0000005' ('objective specification') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000636,extensometer,Violation,Class 'PMD_0000636' ('extensometer') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050091,bioceramic,Violation,Class 'PMD_0050091' ('bioceramic') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050077,zirconia matrix composite,Violation,Class 'PMD_0050077' ('zirconia matrix composite') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000770,hand circular saw,Violation,Class 'PMD_0000770' ('hand circular saw') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0010015,gold metal,Violation,Class 'PMD_0010015' ('gold metal') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000554,chemical property analyzing process,Violation,Class 'PMD_0000554' ('chemical property analyzing process') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000854,micrometer gauge,Violation,Class 'PMD_0000854' ('micrometer gauge') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000573,coating from the plastic state,Violation,Class 'PMD_0000573' ('coating from the plastic state') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0090009,carbon fiber reinforced polymer,Violation,Class 'PMD_0090009' ('carbon fiber reinforced polymer') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000589,creep testing process,Violation,Class 'PMD_0000589' ('creep testing process') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000936,slide,Violation,Class 'PMD_0000936' ('slide') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
