Class Suffix,Label,Severity,Message
DIGITRUBBER_000369,setting roll temperature [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000571,oil content [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000470,pin zone temperature control unit [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000393,stamp temperature control unit [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000345,rotational frequency [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000642,butadiene rubber BR [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000649,hydrogenated nitrile rubber HNBR [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000322,Vulkacit MBTS [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000301,Corax N660 [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000383,mixing chamber [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000373,mastication [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000195,FTIR spectroscopy [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000412,stamp distance [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000437,conveyor belt [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000566,setting point [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000456,temperature sensor [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000343,fixed roll [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000387,rotor temperature control unit [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000458,engine [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000425,single screw extruder [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000593,concentration measurement protocol [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000339,safety data sheet [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000298,N-carbon black [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000455,Pressure Sensor [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000293,diene rubber [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000325,Luvomaxx TbzTD [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000342,roll [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000589,concentration measurement assay [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000366,fixed roll temperature control unit [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000646,polyisoprene IR [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000382,rotor [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000388,rotor temperature [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000650,styrene-butadiene rubber SBR [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000421,number of mixing stages [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000149,deprecated class,Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000534,material processing protocol [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000605,group [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000285,polymer [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000466,screw temperature control unit [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
