Class Suffix,Label,Severity,Message
DIGITRUBBER_000003,geometry [imr],Violation,"Multiple DIGITRUBBER classes use the same base label 'geometry ' with different partner tags: 'geometry [imr]', geometry  [geosparql]"
DIGITRUBBER_000556,mixing [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'mixing ' with different partner tags: 'mixing [dik]', mixing  [ncit], mixing  [chmo]"
DIGITRUBBER_000605,group [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'group ' with different partner tags: 'group [dik]', group  [ncit], group  [chebi]"
DIGITRUBBER_000477,crosslink [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'crosslink ' with different partner tags: 'crosslink [dik]', crosslink  [ncit]"
DIGITRUBBER_000598,hydrocarbylene group [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'hydrocarbylene group ' with different partner tags: 'hydrocarbylene group [dik]', hydrocarbylene group  [chebi]"
DIGITRUBBER_000229,photometry [ifnano],Violation,"Multiple DIGITRUBBER classes use the same base label 'photometry ' with different partner tags: 'photometry [ifnano]', photometry  [ncit]"
DIGITRUBBER_000320,di(benzothiazol-2-yl)disulfide [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'di(benzothiazol-2-yl)disulfide ' with different partner tags: 'di(benzothiazol-2-yl)disulfide [dik]', di(benzothiazol-2-yl)disulfide  [chebi]"
DIGITRUBBER_000602,organic divalent group [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'organic divalent group ' with different partner tags: 'organic divalent group [dik]', organic divalent group  [chebi]"
DIGITRUBBER_000129,operator [hsh],Violation,"Multiple DIGITRUBBER classes use the same base label 'operator ' with different partner tags: 'operator [hsh]', operator  [ncit]"
DIGITRUBBER_000634,quality of a solid [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'quality of a solid ' with different partner tags: 'quality of a solid [dik]', quality of a solid  [pato]"
DIGITRUBBER_000481,vulcanization [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'vulcanization ' with different partner tags: 'vulcanization [dik]', vulcanization  [Arlanxeo]"
DIGITRUBBER_000177,natural rubber [hsh],Violation,"Multiple DIGITRUBBER classes use the same base label 'natural rubber ' with different partner tags: 'natural rubber [hsh]', natural rubber  [ncit]"
DIGITRUBBER_000187,Raman spectroscopy [ifnano],Violation,"Multiple DIGITRUBBER classes use the same base label 'Raman spectroscopy ' with different partner tags: 'Raman spectroscopy [ifnano]', Raman spectroscopy  [ncit]"
DIGITRUBBER_000089,screw speed [ita],Violation,"Multiple DIGITRUBBER classes use the same base label 'screw speed ' with different partner tags: 'screw speed [ita]', screw speed  [dik]"
DIGITRUBBER_000543,material processing [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'material processing ' with different partner tags: 'material processing [dik]', material processing  [obi]"
DIGITRUBBER_000603,organic group [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'organic group ' with different partner tags: 'organic group [dik]', organic group  [chebi]"
DIGITRUBBER_000525,quality of a substance [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'quality of a substance ' with different partner tags: 'quality of a substance [dik]', quality of a substance  [pato]"
DIGITRUBBER_000131,supervisor [hsh],Violation,"Multiple DIGITRUBBER classes use the same base label 'supervisor ' with different partner tags: 'supervisor [hsh]', supervisor  [ncit], supervisor  [m4i]"
DIGITRUBBER_000273,polymer [chebi],Violation,"Multiple DIGITRUBBER classes use the same base label 'polymer ' with different partner tags: 'polymer [chebi]', polymer  [dik]"
DIGITRUBBER_000359,temperature [pato],Violation,"Multiple DIGITRUBBER classes use the same base label 'temperature ' with different partner tags: 'temperature [pato]', temperature  [efo], temperature  [om], temperature  [ncit]"
DIGITRUBBER_000313,stearic acid [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'stearic acid ' with different partner tags: 'stearic acid [dik]', stearic acid  [ncit]"
DIGITRUBBER_000106,cost [hsh],Violation,"Multiple DIGITRUBBER classes use the same base label 'cost ' with different partner tags: 'cost [hsh]', cost  [ncit]"
DIGITRUBBER_000453,sensor [chmo],Violation,"Multiple DIGITRUBBER classes use the same base label 'sensor ' with different partner tags: 'sensor [chmo]', sensor  [sosa]"
DIGITRUBBER_000281,agglomerate [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'agglomerate ' with different partner tags: 'agglomerate [dik]', agglomerate  [enm]"
DIGITRUBBER_000295,filler [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'filler ' with different partner tags: 'filler [dik]', filler  [Arlanxeo]"
DIGITRUBBER_000296,carbon black [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'carbon black ' with different partner tags: 'carbon black [dik]', carbon black  [chebi], carbon black  [Arlanxeo]"
DIGITRUBBER_000216,peak [ifnano],Violation,"Multiple DIGITRUBBER classes use the same base label 'peak ' with different partner tags: 'peak [ifnano]', peak  [ncit], peak  [ms], peak  [allotrope]"
DIGITRUBBER_000019,standard deviation [Wikipedia],Violation,"Multiple DIGITRUBBER classes use the same base label 'standard deviation ' with different partner tags: 'standard deviation [Wikipedia]', standard deviation  [allotrope], standard deviation  [ifnano], standard deviation  [ncit], standard deviation  [ms]"
DIGITRUBBER_000636,optical quality [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'optical quality ' with different partner tags: 'optical quality [dik]', optical quality  [pato]"
DIGITRUBBER_000261,zinc [ifnano],Violation,"Multiple DIGITRUBBER classes use the same base label 'zinc ' with different partner tags: 'zinc [ifnano]', zinc  [efo], zinc  [ncit]"
DIGITRUBBER_000269,Mooney viscosity [ifnano],Violation,"Multiple DIGITRUBBER classes use the same base label 'Mooney viscosity ' with different partner tags: 'Mooney viscosity [ifnano]', Mooney viscosity  [dik], Mooney viscosity  [Arlanxeo]"
DIGITRUBBER_000326,dithiocarbamate [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'dithiocarbamate ' with different partner tags: 'dithiocarbamate [dik]', dithiocarbamate  [chebi]"
DIGITRUBBER_000026,agent [ita],Violation,"Multiple DIGITRUBBER classes use the same base label 'agent ' with different partner tags: 'agent [ita]', agent  [ncit]"
DIGITRUBBER_000213,laser-induced breakdown spectroscopy [ifnano],Violation,"Multiple DIGITRUBBER classes use the same base label 'laser-induced breakdown spectroscopy ' with different partner tags: 'laser-induced breakdown spectroscopy [ifnano]', laser-induced breakdown spectroscopy  [chmo]"
DIGITRUBBER_000395,torque [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'torque ' with different partner tags: 'torque [dik]', torque  [om]"
DIGITRUBBER_000600,organodiyl group [dik],Violation,"Multiple DIGITRUBBER classes use the same base label 'organodiyl group ' with different partner tags: 'organodiyl group [dik]', organodiyl group  [chebi]"
DIGITRUBBER_000190,spectrum [ifnano],Violation,"Multiple DIGITRUBBER classes use the same base label 'spectrum ' with different partner tags: 'spectrum [ifnano]', spectrum  [ncit], spectrum  [allotrope]"
