Class Suffix,Contributor,Label,Parent,Definition
CHEBI_28685,,molybdenum atom,metal atom,
CHEBI_33395,,mendelevium atom,metal atom,
CHEBI_27563,,arsenic atom,metalloid atom,
PMD_0000873,,,deprecated class,
CHEBI_49631,,gallium atom,metal atom,"A metallic element predicted as eka-aluminium by Mendeleev in 1870 and discovered by Paul-Emile Lecoq de Boisbaudran in 1875. Named in honour of France (Latin <em>Gallia</em>) and perhaps also from the Latin <em>gallus</em> cock, a translation of Lecoq."
CHEBI_33386,,protactinium atom,metal atom,
CHEBI_30430,,indium atom,metal atom,A metallic element first identified and named from the brilliant indigo (Latin <em>indicum</em>) blue line in its flame spectrum.
CHEBI_33325,,radium atom,metal atom,
CHEBI_33375,,gadolinium atom,lanthanoid atom,
CHEBI_33336,,lanthanum atom,lanthanoid atom,
CHEBI_33373,,promethium atom,lanthanoid atom,
CHEBI_33331,,yttrium atom,metal atom,
CHEBI_194531,,flerovium atom,metal atom,A carbon group element atom with a symbol Fl and atomic number 114.
CHEBI_33348,,tantalum atom,metal atom,
CHEBI_32145,,sodium hydroxide,molecular entity,
CHEBI_33372,,neodymium atom,lanthanoid atom,
CHEBI_33301,,bismuth atom,metal atom,
CHEBI_60003,,pure substance,chemical substance,"A pure substance is a chemical substance composed of multiple molecules, which are all of the same kind."
CHEBI_27568,,selenium atom,chalcogen,
CHEBI_28112,,nickel atom,metal atom,Chemical element (nickel group element atom) with atomic number 28.
CHEBI_49957,,xenon atom,nonmetal atom,
CHEBI_49828,,praseodymium atom,lanthanoid atom,
CHEBI_27007,,tin atom,metal atom,
CHEBI_33303,,chalcogen,atom,Any p-block element belonging to the group 16 family of the periodic table.
CHEBI_33322,,rubidium atom,metal atom,
CHEBI_30512,,silver atom,metal atom,
CHEBI_25555,,nitrogen atom,nonmetal atom,
CHEBI_33324,,strontium atom,metal atom,
PMD_0010000,,corrosion resistant,material property,a disposition to withstand corrosive attack to a certain extend
UO_0000003,,time unit,unit,A unit which is a standard measure of the dimension in which events occur in sequence.
CHEBI_33361,,meitnerium atom,metal atom,
CHEBI_33377,,dysprosium atom,lanthanoid atom,
CHEBI_29287,,gold atom,metal atom,
UO_0000000,,unit,measurement unit label,A unit of measurement is a standardized quantity of a physical quality.
CHEBI_33344,,niobium atom,metal atom,
UO_1000163,,mass percentage based unit,unit,
CHEBI_18248,,iron atom,metal atom,An iron group element atom that has atomic number 26.
CHEBI_49648,,holmium atom,lanthanoid atom,
CHEBI_33343,,hafnium atom,metal atom,
CHEBI_33313,,polonium atom,chalcogen,"A radioactive metallic element discovered in 1898 by Marie Sklodowska Curie and named after her home country, Poland (Latin <em>Polonia</em>)."
CHEBI_32594,,barium atom,metal atom,
CHEBI_33349,,dubnium atom,metal atom,
CHEBI_30415,,astatine atom,nonmetal atom,
