Message
"Multiple DIGITRUBBER classes use the same base label 'group ' with different partner tags: 'group [dik]', group  [ncit], group  [chebi]"
"Multiple DIGITRUBBER classes use the same base label 'hydrocarbylene group ' with different partner tags: 'hydrocarbylene group [dik]', hydrocarbylene group  [chebi]"
"Multiple DIGITRUBBER classes use the same base label 'di(benzothiazol-2-yl)disulfide ' with different partner tags: 'di(benzothiazol-2-yl)disulfide [dik]', di(benzothiazol-2-yl)disulfide  [chebi]"
"Multiple DIGITRUBBER classes use the same base label 'organic divalent group ' with different partner tags: 'organic divalent group [dik]', organic divalent group  [chebi]"
"Multiple DIGITRUBBER classes use the same base label 'organic group ' with different partner tags: 'organic group [dik]', organic group  [chebi]"
"Multiple DIGITRUBBER classes use the same base label 'polymer ' with different partner tags: 'polymer [chebi]', polymer  [dik]"
"Multiple DIGITRUBBER classes use the same base label 'carbon black ' with different partner tags: 'carbon black [dik]', carbon black  [chebi], carbon black  [Arlanxeo]"
"Multiple DIGITRUBBER classes use the same base label 'dithiocarbamate ' with different partner tags: 'dithiocarbamate [dik]', dithiocarbamate  [chebi]"
"Multiple DIGITRUBBER classes use the same base label 'organodiyl group ' with different partner tags: 'organodiyl group [dik]', organodiyl group  [chebi]"
